product_title,link,price,currency,pre_reduction,discount
Youth Cosmic Runner Gs,https://www.namshi.com//bahrain-en/buy-nike-youth-cosmic-runner-gs/ZF2337080999D39DF29B0Z/p/,20.26,BHD,30.24,-34%
Nike Air Max Nova,https://www.namshi.com//bahrain-en/buy-nike-nike-air-max-nova/VAC3BC7AB1230B3C97EC7V/p/,27.09,BHD,41.09,-35%
Infant Lightorama Rnr El,https://www.namshi.com//bahrain-en/buy-adidas-infant-lightorama-rnr-el/ZBF4696A613932B14D356Z/p/,15.37,BHD,25.91,-41%
Infant Fun Racer 2 Ac+,https://www.namshi.com//bahrain-en/buy-puma-infant-fun-racer-2-ac/V13657210DF893FE17E8AV/p/,7.51,BHD,16.15,-54%
Kids Old Skool V Sneakers,https://www.namshi.com//bahrain-en/buy-vans-kids-old-skool-v-sneakers/VFFD1F60B9F32091CB10DV/p/,10.81,BHD,24.83,-57%
Youth Dunk Low Retro Bttys,https://www.namshi.com//bahrain-en/buy-nike-youth-dunk-low-retro-bttys/VB1B1BFFDE479A1ED8B86V/p/,27.43,BHD,35.67,-24%
Youth Grand Court 3.0,https://www.namshi.com//bahrain-en/buy-adidas-youth-grand-court-3-0/ZF43EF7D298CB66875F3EZ/p/,17.99,BHD,22.66,-21%
Kids Tensaur Run 3.0 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-tensaur-run-3-0-el/VBDF23A7DAED77951F3FBV/p/,12.63,BHD,19.41,-35%
Infant Samba Og Cf El,https://www.namshi.com//bahrain-en/buy-adidas-originals-infant-samba-og-cf-el/Z5046E93EE35E646E06B9Z/p/,24.7,BHD,25.91,-5%
Youth Omni Multi-Court Gs,https://www.namshi.com//bahrain-en/buy-nike-youth-omni-multi-court-gs/Z1CA52DC187617C02F9BAZ/p/,16.39,BHD,30.24,-46%
Youth Gel-1130 Gs,https://www.namshi.com//bahrain-en/buy-asics-youth-gel-1130-gs/Z4F50D5A08B51C09553E0Z/p/,43.26,BHD,,
Youth Cosmic Runner Gs,https://www.namshi.com//bahrain-en/buy-nike-youth-cosmic-runner-gs/ZBED3DB3438960AB6F4BBZ/p/,35.17,BHD,,
Kids Deportivo Iii Tf,https://www.namshi.com//bahrain-en/buy-adidas-kids-deportivo-iii-tf/Z1BA617F22BC64104994EZ/p/,15.82,BHD,18.32,-14%
Kids Tensaur Run 3.0 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-tensaur-run-3-0-el/Z781DE52523F13619B3FDZ/p/,16.74,BHD,22.66,-27%
Nike Flex Runner 4,https://www.namshi.com//bahrain-en/buy-nike-nike-flex-runner-4/V40D5C1F7B29BFA169D94V/p/,29.48,BHD,,
Tensaur Hook and Loop Shoes,https://www.namshi.com//bahrain-en/buy-adidas-tensaur-hook-and-loop-shoes/ZFC615002AD30DF8330C7Z/p/,20.38,BHD,,
Youth Advantage Base 2.0,https://www.namshi.com//bahrain-en/buy-adidas-youth-advantage-base-2-0/Z47ABBA650959AE635124Z/p/,17.87,BHD,22.66,-22%
Youth Flex Runner 4 Gs,https://www.namshi.com//bahrain-en/buy-nike-youth-flex-runner-4-gs/VF3173203F682E50CB0F8V/p/,29.48,BHD,,
Kids Samba Og,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-samba-og/Z6DF10BEE9D37B5B5496EZ/p/,23.45,BHD,30.24,-23%
Youth V5 Rnr Gs,https://www.namshi.com//bahrain-en/buy-nike-youth-v5-rnr-gs/Z9AA74FFD8F7A9B59EC03Z/p/,46.55,BHD,,
